name,brand,kcal_per_mL,protein_per_mL,fat_per_mL,carbohydrate_per_mL,fibre_per_mL,sodium_per_mL,potassium_per_mL,calcium_per_mL,iron_per_mL,magnesium_per_mL,phosphorus_per_mL,free_water_per_mL,vitamin_a_rae_ug_per_mL,retinol_ug_per_mL,beta_carotene_ug_per_mL,vitamin_d_ug_per_mL,vitamin_e_mg_per_mL,vitamin_c_mg_per_mL,thiamine_mg_per_mL,riboflavin_mg_per_mL,vitamin_b6_mg_per_mL,pantothenic_acid_mg_per_mL,niacin_preformed_mg_per_mL,zinc_mg_per_mL,copper_mg_per_mL,manganese_mg_per_mL,folate_dfe_ug_per_mL,vitamin_b12_ug_per_mL,selenium_ug_per_mL,source,verified
Osmolite 1.2 Cal,Abbott Nutrition,1.2,0.056,0.039,0.16,,1.07,2.27,1.2,0.014,0.37,1.2,0.82,0.72,0.07,1.3,0.016,0.04005,0.25,0.0017,0.0025,0.0014,0.004,0.0083,0.011,0.0017,0.0034,0.323,0.0096,0.058,"Osmolite 1.2 Cal_Product Information Sheet_English_Oct 30 2025.pdf p.2 (Per 100 mL column), Oct 2025",2026-08-27
Pivot 1.5 Cal,Abbott Nutrition,1.5,0.093,0.022,0.072,0.003,1.477,1.983,1.013,0.024,0.422,0.97,0.750,1.8,,2.39,0.0278,0.0268,0.304,0.002,0.0021,0.0023,0.0089,0.02,0.031,0.002,0.005,0.629,0.005,0.08,2024_abbott-adult-product-guide.pdf p.24,2026-07-19
Promote,Abbott Nutrition,1.0,0.063,0.026,0.13,,1.0,1.98,1.2,0.018,0.4,1.2,0.837,1.05,1.05,,0.01,0.023,0.34,0.0023,0.0026,0.00302,0.0149,0.0302,0.0238,0.002,0.00511,1.01,0.00894,0.0681,2024_abbott-adult-product-guide.pdf p.25,2026-07-19
Suplena,Abbott Nutrition,1.8,0.045,0.096,0.2,0.013,0.8,1.14,1.05,0.019,0.21,0.72,0.738,0.95,0.95,,0.00213,0.0656,0.106,0.00238,0.00272,0.00851,0.0162,0.0315,0.0272,0.00213,0.00213,1.81,0.00979,0.0766,2024_abbott-adult-product-guide.pdf p.26,2026-07-19
TwoCal HN,Abbott Nutrition,2.0,0.084,0.091,0.22,0.005,0.84,2.11,1.37,0.025,0.41,1.32,0.7,1.581,1.581,,0.024,0.03375,0.32,0.0025,0.0027,0.0036,0.017,0.034,0.024,0.0021,0.0055,1.173,0.01,0.076,"TwoCal_HN_Product_Information_Sheet_English.pdf p.2 (Per 100 mL column), Sep 2025",2026-08-27
Vital Peptide 1 Cal,Abbott Nutrition,1.0,0.040,0.037,0.13,,1.28,1.43,0.72,0.015,0.2,0.66,0.853,0.999,0.999,,0.007,0.0099,0.12,0.0017,0.0022,0.0022,0.008,0.013,0.012,0.0017,0.0036,0.408,0.0035,0.065,2024_abbott-adult-product-guide.pdf p.28,2026-07-19
Vital Peptide 1.5 Cal,Abbott Nutrition,1.5,0.068,0.055,0.18,,1.69,2.0,1.0,0.02,0.3,1.0,0.776,1.5,1.5,,0.01,0.0131,0.18,0.0021,0.003,0.003,0.01,0.015,0.018,0.0024,0.005,0.51,0.005,0.095,2024_abbott-adult-product-guide.pdf p.29,2026-07-19
Ensure Advance,Abbott Nutrition,1.489,0.08511,0.04681,0.1872,0.01277,1.102,2,1.06,0.01106,0.2809,1.068,0.681,1.596,1.596,,0.006383,0.01191,0.06383,0.001404,0.001745,0.001745,0.005532,0.04255,0.01574,0.002128,0.004681,0.434,0.001191,0.05106,2024_abbott-adult-product-guide.pdf p.7,2026-08-28
Ensure Protein Max 30 g,Abbott Nutrition,0.4545,0.09091,0.004545,0.01818,0.006061,0.4242,1.364,1.818,0.01364,0.3333,1.515,0.905,,,,0.04242,0.01667,0.1364,0.000909,0.001061,0.001364,0.003939,0.02424,0.007576,0.000667,0.001818,,0.001818,0.04242,2024_abbott-adult-product-guide.pdf p.8,2026-08-28
Ensure Compact,Abbott Nutrition,1.847,0.07627,0.05085,0.2712,,1.373,2.797,2.763,0.03814,0.3644,1.593,0.721,1.264,1.264,,0.01695,0.04195,0.3898,0.00322,0.003983,0.004576,0.01525,0.02203,0.02203,0.002712,0.006441,0.9364,0.006017,0.1186,2024_abbott-adult-product-guide.pdf p.9,2026-08-28
Ensure Regular,Abbott Nutrition,1.021,0.0383,0.02553,0.1532,0,0.8936,1.915,1.489,0.01915,0.3404,1.064,0.831,1.021,1.021,,0.02128,0.03191,0.1915,0.001404,0.00183,0.00183,0.006383,0.0234,0.01489,0.000894,0.00234,0.4255,0.002553,0.05957,2024_abbott-adult-product-guide.pdf p.10,2026-08-28
Ensure High Protein 16 g,Abbott Nutrition,0.6809,0.06809,0.008511,0.08085,0.003787,0.8681,1.979,1.379,0.00766,0.1787,0.7915,0.838,0.9489,0.9489,,0.004255,0.009362,0.05532,0.001489,0.001617,0.001404,0.005532,0.02383,0.01191,0.001106,0.003915,0.3021,0.001404,0.02298,2024_abbott-adult-product-guide.pdf p.11,2026-08-28
Ensure High Protein 12 g,Abbott Nutrition,0.9574,0.05106,0.02553,0.1319,,1.23,1.821,1.17,0.01489,0.2766,1.17,0.837,1.489,1.489,,0.005532,0.01064,0.06383,0.001362,0.00183,0.002,0.007234,0.02553,0.01702,0.002128,0.005532,0.4298,0.002085,0.05106,2024_abbott-adult-product-guide.pdf p.12,2026-08-28
